speed,unit,device,road,distance
32000.00,Bps,Dragino,curve,100
16000.00,Bps,Dragino,curve,100
16000.00,Bps,Dragino,curve,100
16000.00,Bps,Dragino,curve,100
32000.00,Bps,Dragino,curve,100
32000.00,Bps,Dragino,curve,100
16000.00,Bps,Dragino,curve,100
16000.00,Bps,Dragino,curve,100
16000.00,Bps,Dragino,curve,100
32000.00,Bps,Dragino,curve,100
32000.00,Bps,Dragino,straight,100
32000.00,Bps,Dragino,straight,100
16000.00,Bps,Dragino,straight,100
16000.00,Bps,Dragino,straight,100
32000.00,Bps,Dragino,straight,100
32000.00,Bps,Dragino,straight,100
16000.00,Bps,Dragino,straight,100
16000.00,Bps,Dragino,straight,100
16000.00,Bps,Dragino,straight,100
32000.00,Bps,Dragino,straight,100
16000.00,Bps,Dragino,curve,300
16000.00,Bps,Dragino,curve,300
32000.00,Bps,Dragino,curve,300
16000.00,Bps,Dragino,curve,300
16000.00,Bps,Dragino,curve,300
16000.00,Bps,Dragino,curve,300
10666.67,Bps,Dragino,curve,300
32000.00,Bps,Dragino,curve,300
32000.00,Bps,Dragino,curve,300
16000.00,Bps,Dragino,curve,300
16000.00,Bps,Dragino,straight,300
16000.00,Bps,Dragino,straight,300
16000.00,Bps,Dragino,straight,300
32000.00,Bps,Dragino,straight,300
32000.00,Bps,Dragino,straight,300
16000.00,Bps,Dragino,straight,300
16000.00,Bps,Dragino,straight,300
16000.00,Bps,Dragino,straight,300
32000.00,Bps,Dragino,straight,300
32000.00,Bps,Dragino,straight,300
32000.00,Bps,Dragino,curve,500
16000.00,Bps,Dragino,curve,500
16000.00,Bps,Dragino,curve,500
16000.00,Bps,Dragino,curve,500
32000.00,Bps,Dragino,curve,500
32000.00,Bps,Dragino,curve,500
16000.00,Bps,Dragino,curve,500
16000.00,Bps,Dragino,curve,500
16000.00,Bps,Dragino,curve,500
32000.00,Bps,Dragino,curve,500
32000.00,Bps,Dragino,straight,500
32000.00,Bps,Dragino,straight,500
10666.67,Bps,Dragino,straight,500
16000.00,Bps,Dragino,straight,500
16000.00,Bps,Dragino,straight,500
32000.00,Bps,Dragino,straight,500
32000.00,Bps,Dragino,straight,500
10666.67,Bps,Dragino,straight,500
16000.00,Bps,Dragino,straight,500
16000.00,Bps,Dragino,straight,500
32000.00,Bps,Dragino,curve,100
16000.00,Bps,Dragino,curve,100
16000.00,Bps,Dragino,curve,100
16000.00,Bps,Dragino,curve,100
32000.00,Bps,Dragino,curve,100
32000.00,Bps,Dragino,curve,100
16000.00,Bps,Dragino,curve,100
16000.00,Bps,Dragino,curve,100
16000.00,Bps,Dragino,curve,100
32000.00,Bps,Dragino,curve,100
32000.00,Bps,Dragino,straight,100
32000.00,Bps,Dragino,straight,100
16000.00,Bps,Dragino,straight,100
16000.00,Bps,Dragino,straight,100
32000.00,Bps,Dragino,straight,100
32000.00,Bps,Dragino,straight,100
16000.00,Bps,Dragino,straight,100
16000.00,Bps,Dragino,straight,100
16000.00,Bps,Dragino,straight,100
32000.00,Bps,Dragino,straight,100
16000.00,Bps,Dragino,curve,300
16000.00,Bps,Dragino,curve,300
32000.00,Bps,Dragino,curve,300
16000.00,Bps,Dragino,curve,300
16000.00,Bps,Dragino,curve,300
16000.00,Bps,Dragino,curve,300
10666.67,Bps,Dragino,curve,300
32000.00,Bps,Dragino,curve,300
32000.00,Bps,Dragino,curve,300
16000.00,Bps,Dragino,curve,300
16000.00,Bps,Dragino,straight,300
16000.00,Bps,Dragino,straight,300
16000.00,Bps,Dragino,straight,300
32000.00,Bps,Dragino,straight,300
32000.00,Bps,Dragino,straight,300
16000.00,Bps,Dragino,straight,300
16000.00,Bps,Dragino,straight,300
16000.00,Bps,Dragino,straight,300
32000.00,Bps,Dragino,straight,300
32000.00,Bps,Dragino,straight,300
32000.00,Bps,Dragino,curve,500
16000.00,Bps,Dragino,curve,500
16000.00,Bps,Dragino,curve,500
16000.00,Bps,Dragino,curve,500
32000.00,Bps,Dragino,curve,500
32000.00,Bps,Dragino,curve,500
16000.00,Bps,Dragino,curve,500
16000.00,Bps,Dragino,curve,500
16000.00,Bps,Dragino,curve,500
32000.00,Bps,Dragino,curve,500
32000.00,Bps,Dragino,straight,500
32000.00,Bps,Dragino,straight,500
10666.67,Bps,Dragino,straight,500
16000.00,Bps,Dragino,straight,500
16000.00,Bps,Dragino,straight,500
32000.00,Bps,Dragino,straight,500
32000.00,Bps,Dragino,straight,500
10666.67,Bps,Dragino,straight,500
16000.00,Bps,Dragino,straight,500
16000.00,Bps,Dragino,straight,500